term,docket,usCite,caseTitle,dateArgument,dateRearg,audioExists,advocatesPetitioner,advocatesRespondent,advocatesOther,dateDecision,caseLink
1978,"77-1413","440 U.S. 257","Aronson v. Quick Point Pencil Company","1978-12-06","",true,"lee_cook","erwin_griswold","barry_grossman","1979-02-28","https://www.oyez.org/cases/1978/77-1413"
1978,"77-1119","440 U.S. 268","Orr v. Orr","1978-11-27","",true,"john_capell","w_horsley","","1979-03-05","https://www.oyez.org/cases/1978/77-1119"
1978,"77-968","440 U.S. 301","Detroit Edison Company v. National Labor Relations Board","1978-11-06","",true,"john_mcguinn","norton_come","","1979-03-05","https://www.oyez.org/cases/1978/77-968"
1978,"77-841","440 U.S. 332","Quern v. Jordan","1978-11-08","",true,"","sheldon_roodman","william_wenzel","1979-03-05","https://www.oyez.org/cases/1978/77-841"
1978,"77-1177","440 U.S. 367","Scott v. Illinois","1978-12-04","",true,"john_elson","gerri_papushkewych","","1979-03-05","https://www.oyez.org/cases/1978/77-1177"
1978,"77-1327","440 U.S. 391","Lake Country Estates, Inc. v. Tahoe Regional Planning Agency","1978-12-04","",true,"john_bartko","clement_shute,kenneth_rollston","","1979-03-05","https://www.oyez.org/cases/1978/77-1327"
1978,"77-1337","440 U.S. 410","Nevada v. Hall","1978-11-07","",true,"","","everett_rowe,michael_dyer","1979-03-05","https://www.oyez.org/cases/1978/77-1337"
1978,"77-6540","440 U.S. 444","Ramsey v. New York","1979-02-22","",true,"","","richard_mischel,steven_fisher","1979-03-05","https://www.oyez.org/cases/1978/77-6540"
1978,"77-1255","440 U.S. 445","Anders v. Floyd","","",false,"","","","1979-03-05","https://www.oyez.org/cases/1978/77-1255"
1978,"77-1659","440 U.S. 447","Chase Manhattan Bank, N.A. v. Finance Administrator of the City of New York","","",false,"","","","1979-03-05","https://www.oyez.org/cases/1978/77-1659"
1978,"77-1489","440 U.S. 450","New Jersey v. Portash","1978-12-05","",true,"edwin_stier","michael_wilbert","","1979-03-20","https://www.oyez.org/cases/1978/77-1489"
1978,"77-1172","440 U.S. 472","National Muffler Dealers Assn., Inc. v. United States","1978-11-27","",true,"myron_gordon","stuart_smith","","1979-03-20","https://www.oyez.org/cases/1978/77-1172"
1978,"77-752","440 U.S. 490","National Labor Relations Board v. Catholic Bishop of Chicago","1978-10-30","",true,"wade_mccree","don_reuben","don_rueben","1979-03-21","https://www.oyez.org/cases/1978/77-752"
1978,"77-961","440 U.S. 519","New York Telephone Company v. New York Department of Labor","1978-10-30","",true,"","maria_marcus","david_benetar","1979-03-21","https://www.oyez.org/cases/1978/77-961"
1978,"77-1427","440 U.S. 568","New York City Transit Authority v. Beazer","1978-12-06","",true,"joan_offner","deborah_greenberg","","1979-03-21","https://www.oyez.org/cases/1978/77-1427"
1978,"77-1553","440 U.S. 625","County of Los Angeles v. Davis","1978-12-05","",true,"william_stewart","thomas_hunt","","1979-03-27","https://www.oyez.org/cases/1978/77-1553"
