term,caseTitle,docket,dateArgument,url,file,notes
"1968","Lear, Inc. v. Adkins","56","1968-11-21","https://www.supremecourt.gov/pdfs/transcripts/1968/68-56_11-21-1968.pdf","/sources/scotus/transcripts/1968/56_1968-11-21.pdf",""
"1968","Williams v. Rhodes","543","1968-10-07","https://www.supremecourt.gov/pdfs/transcripts/1968/68-543_10-07-1968.pdf","/sources/scotus/transcripts/1968/543_1968-10-07.pdf",""
"1968","Socialist Labor Party v. Rhodes","544","1968-10-07","https://www.supremecourt.gov/pdfs/transcripts/1968/68-544_10-07-1968.pdf","/sources/scotus/transcripts/1968/544_1968-10-07.pdf",""
"1968","Ivanov v. United States","11","1968-10-14","https://www.supremecourt.gov/pdfs/transcripts/1968/68-11_10-14-1968.pdf","/sources/scotus/transcripts/1968/11_1968-10-14.pdf",""
"1968","Alderman v. United States","133","1968-10-14","https://www.supremecourt.gov/pdfs/transcripts/1968/68-133_10-14-1968.pdf","/sources/scotus/transcripts/1968/133_1968-10-14.pdf",""
"1968","Butenko v. United States","197","1968-10-14","https://www.supremecourt.gov/pdfs/transcripts/1968/68-197_10-14-1968.pdf","/sources/scotus/transcripts/1968/197_1968-10-14.pdf",""
"1968","United States v. Louisiana","9-orig","1968-10-14","https://www.supremecourt.gov/pdfs/transcripts/1968/9_Orig_10-14-1968.pdf","/sources/scotus/transcripts/1968/9-orig_1968-10-14.pdf",""
"1968","Allen v. State Bd. of Elections","3","1968-10-15","https://www.supremecourt.gov/pdfs/transcripts/1968/68-3_10-15-1968.pdf","/sources/scotus/transcripts/1968/3_1968-10-15.pdf",""
"1968","Locomotive Firemen v. Chicago, R. I. & P. R. Co.","16","1968-10-22","https://www.supremecourt.gov/pdfs/transcripts/1968/68-16_68-18_10-15-1968.pdf","/sources/scotus/transcripts/1968/16_1968-10-15.pdf","393 U.S. 129 suggests this transcript was filed on the wrong day"
"1968","United States v. Louisiana","9-orig","1968-10-15","https://www.supremecourt.gov/pdfs/transcripts/1968/9_Orig_10-15-1968.pdf","/sources/scotus/transcripts/1968/9-orig_1968-10-15.pdf",""
"1968","Epperson v. Arkansas","7","1968-10-16","https://www.supremecourt.gov/pdfs/transcripts/1968/68-7_10-16-1968.pdf","/sources/scotus/transcripts/1968/7_1968-10-16.pdf",""
"1968","Spinelli v. United States","8","1968-10-16","https://www.supremecourt.gov/pdfs/transcripts/1968/68-8_10-16-1968.pdf","/sources/scotus/transcripts/1968/8_1968-10-16.pdf",""
"1968","Fairley v. Patterson","25","1968-10-16","https://www.supremecourt.gov/pdfs/transcripts/1968/68-25_68-26_68-36_10-16-1968.pdf","/sources/scotus/transcripts/1968/25_1968-10-16.pdf",""
"1968","Spinelli v. United States","8","1968-10-17","https://www.supremecourt.gov/pdfs/transcripts/1968/68-8_10-17-1968.pdf","/sources/scotus/transcripts/1968/8_1968-10-17.pdf",""
"1968","WHYY, Inc. v. Glassboro","10","1968-10-17","https://www.supremecourt.gov/pdfs/transcripts/1968/68-10_10-17-1968.pdf","/sources/scotus/transcripts/1968/10_1968-10-17.pdf",""
"1968","Baltimore & Ohio R. Co. v. Aberdeen & Rockfish R. Co.","13","1968-10-17","https://www.supremecourt.gov/pdfs/transcripts/1968/68-13_68-15_10-17-1968.pdf","/sources/scotus/transcripts/1968/13_1968-10-17.pdf",""
